place_id,osm_id,name,alt_names,lat,lon,address,province_code,district_code,ward_code,categories,subcategories,tags,verified,last_updated,source,popularityScore,rating
HN-OSM-4562,N12224003113,Agribank,,21.036168,105.7599257,"Phố Hàm Nghi, Quận Nam Từ Liêm",HN,NTL,,bank,,,False,2025-11-25,osm,,
HN-OSM-4563,N12224003114,PG Bank,,21.0268874,105.8155981,"Phố Nguyễn Công Hoan, Quận Ba Đình",HN,BD,,bank,,,False,2025-11-25,osm,,
HN-OSM-4564,N12230059534,Phở Bò Yến,,21.0421332,105.8424306,"86, Phố Cửa Bắc, Ba Đình",HN,BD,,restaurant,noodle,,False,2025-11-25,osm,,
HN-OSM-4565,N12230139974,Ushanka,,21.0191038,105.8015084,"97, Đường Nguyễn Khang, Cầu Giấy",HN,CG,,restaurant,russian,,False,2025-11-25,osm,,
HN-OSM-4566,N12230141269,Joma,,21.0170438,105.7785438,"82, Nam Từ Liêm",HN,NTL,,cafe,bakery;coffee_shop,,False,2025-11-25,osm,,
HN-OSM-4567,N12230186584,Panzerotti.hn,,21.0457143,105.8426193,"13a, Phố Châu Long, Ba Đình",HN,BD,,restaurant,italian,,False,2025-11-25,osm,,
HN-OSM-4568,N12231662472,Petrolimex,,20.9668877,105.8216303,634 phố Kim Giang,HN,,,fuel,,,False,2025-11-25,osm,,
HN-OSM-4569,N12232415785,Delícia Coffee & Lounge,,20.975184,105.8119491,Hoàng Mai,HN,HM,,cafe,,,False,2025-11-25,osm,,
HN-OSM-4570,N12235167371,Sàn gỗ Nguyễn Kim,,21.0499723,105.8050425,"62, Đường Võ Chí Công, Cầu Giấy",HN,CG,,cafe,,,False,2025-11-25,osm,,
HN-OSM-4571,N12235716616,Sân thể thao 161 Trần Hoà,,20.9759781,105.826904,,HN,,,sports_centre,,,False,2025-11-25,osm,,
HN-OSM-4572,N12240739575,Highlands Coffee,Highlands Coffee,20.9658076,105.7570507,,HN,,,cafe,coffee_shop;vietnamese,,False,2025-11-25,osm,,
HN-OSM-4573,N12240739576,Dookki,,20.9661164,105.7570937,,HN,,,restaurant,korean,,False,2025-11-25,osm,,
HN-OSM-4574,N12240739583,Charge+,,20.965844,105.7557656,,HN,,,charging_station,,,False,2025-11-25,osm,,
HN-OSM-4575,N12240823471,Zaocha,,21.0634648,105.8675912,"19, Phố Gia Thượng",HN,,,cafe,bubble_tea,,False,2025-11-25,osm,,
HN-OSM-4576,N12241087810,Cơm gà Mạnh Hoa,,21.0153818,105.8005144,"65, Phố Lưu Quang Vũ",HN,,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-4577,N12243190801,Highlands Coffee,Highlands Coffee,21.042598,105.8369236,,HN,,,cafe,coffee_shop;vietnamese,,False,2025-11-25,osm,,
HN-OSM-4578,N12244336365,Kafa Cafe,,21.0159533,105.8012804,"55, Phố Lưu Quang Vũ",HN,,,cafe,coffee_shop,,False,2025-11-25,osm,,
HN-OSM-4579,N12245679301,SeABank,,21.0152029,105.8012596,"66, Phố Trung Hoà",HN,,,bank,,,False,2025-11-25,osm,,
HN-OSM-4580,N12245679302,BIDV,,21.0152415,105.801222,"68, Phố Trung Hoà",HN,,,bank,,,False,2025-11-25,osm,,
HN-OSM-4581,N12245679303,Joy House,,21.0153161,105.8011491,"72, Phố Trung Hoà",HN,,,cafe,,,False,2025-11-25,osm,,
HN-OSM-4582,N12245679304,Thai Restaurant Seafood,,21.0153561,105.80111,"74, Phố Trung Hoà",HN,,,restaurant,thai,,False,2025-11-25,osm,,
HN-OSM-4583,N12245679305,Nhà hàng Nhất Linh,,21.0153935,105.8010735,"76, Phố Trung Hoà",HN,,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-4584,N12245679306,NCB,,21.0154327,105.8010353,"78, Phố Trung Hoà",HN,,,bank,,,False,2025-11-25,osm,,
HN-OSM-4585,N12245679308,Indovina Bank,,21.0155041,105.8009655,"82, Phố Trung Hoà",HN,,,bank,,,False,2025-11-25,osm,,
HN-OSM-4586,N12245679309,Le Monde Steak,,21.0155514,105.8009193,"84, Phố Trung Hoà",HN,,,restaurant,french,,False,2025-11-25,osm,,
HN-OSM-4587,N12245679310,Shang Chi,,21.0156253,105.8008992,"84, Phố Trung Hoà",HN,,,restaurant,taiwanese,,False,2025-11-25,osm,,
HN-OSM-4588,N12245679311,C.O.C Flavor,,21.0156972,105.8009529,"63, Phố Lưu Quang Vũ",HN,,,cafe,coffee_shop,,False,2025-11-25,osm,,
HN-OSM-4589,N12252622818,Chilling - Coffee & Toast,,21.0380741,105.8122488,,HN,,,cafe,,,False,2025-11-25,osm,,
HN-OSM-4590,N12273016220,Blue Home Homestay,,21.0362031,105.7991975,,HN,,,hotel,,,False,2025-11-25,osm,,
HN-OSM-4591,N12277048825,InterContinental Hanoi Landmark72,,21.0169899,105.7836904,"E6, Đường Phạm Hùng, Cầu Giấy",HN,CG,,hotel,,,False,2025-11-25,osm,,
HN-OSM-4592,N12277048841,Cadilas Landmark72 Royal Residence,,21.0169464,105.7842571,"E6, Đường Phạm Hùng, Cầu Giấy",HN,CG,,apartment,,,False,2025-11-25,osm,,
HN-OSM-4593,N12277048842,Starbucks,,21.0166458,105.7838112,,HN,,,cafe,coffee_shop,,False,2025-11-25,osm,,
HN-OSM-4594,N12277048843,Lotteria,,21.0168253,105.7839788,,HN,,,fast_food,burger,,False,2025-11-25,osm,,
HN-OSM-4595,N12277048844,Shinhan Bank,,21.0165906,105.7841094,,HN,,,bank,,,False,2025-11-25,osm,,
HN-OSM-4596,N12277048845,Pizza 4P's,,21.017037,105.7839985,,HN,,,restaurant,pizza,,False,2025-11-25,osm,,
HN-OSM-4597,N12277048847,Techcombank,,21.018024,105.7836978,,HN,,,bank,,,False,2025-11-25,osm,,
HN-OSM-4598,N12277048849,Big Mama Restaurant,,21.017833,105.7836461,,HN,,,restaurant,korean,,False,2025-11-25,osm,,
HN-OSM-4599,N12277048850,Hanoi Gwang Hae,,21.0178377,105.7832763,,HN,,,restaurant,korean,,False,2025-11-25,osm,,
HN-OSM-4600,N12277048851,Caffe Grigio,,21.017659,105.7832115,,HN,,,cafe,coffee_shop,,False,2025-11-25,osm,,
HN-OSM-4601,N12278334958,CALIDAS Gardium,,21.0177726,105.7843118,,HN,,,events_venue,,,False,2025-11-25,osm,,
HN-OSM-4602,N12281937801,Giang My,,21.0236809,105.8507253,,HN,,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-4603,N12284557543,Công Ty TNHH IZISolution,,21.0297845,105.7850495,"Số 4, Ngõ 82 Phố Dịch Vọng Hậu, Cầu Giấy",HN,CG,,place_of_worship,,,False,2025-11-25,osm,,
HN-OSM-4604,N12287492375,CoCo Ichibanya,CoCo Ichibanya,21.0760133,105.8126928,,HN,,,restaurant,curry;japanese,,False,2025-11-25,osm,,
HN-OSM-4605,N12287492382,Marugame Udon,,21.0765181,105.8133716,,HN,,,fast_food,noodle,,False,2025-11-25,osm,,
HN-OSM-4606,N12287492384,Lotteria,,21.0756278,105.8124769,,HN,,,fast_food,burger,,False,2025-11-25,osm,,
HN-OSM-4607,N12289120139,"Hanoi Corner, Madame Yen",,21.033518,105.8538828,,HN,,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-4608,N12291667703,Chay Nhà An,,21.0362521,105.8288384,,HN,,,restaurant,,,False,2025-11-25,osm,,
HN-OSM-4609,N12293316018,Second Home,,21.0340545,105.7880828,,HN,,,cafe,,,False,2025-11-25,osm,,
HN-OSM-4610,N12293358790,Era Apartment Khuc Thua Du,,21.0340693,105.7930895,,HN,,,hotel,,,False,2025-11-25,osm,,
HN-OSM-4611,N12300343485,TingTong 71,,20.9806375,105.8157511,,HN,,,guest_house,,,False,2025-11-25,osm,,
HN-OSM-4612,N12300636545,"The Root, Boardgame Cafe",,21.0352937,105.8308972,,HN,,,cafe,,,False,2025-11-25,osm,,
HN-OSM-4613,N12313888820,Phở hiền,,21.0159775,105.8050255,,HN,,,restaurant,phở,,False,2025-11-25,osm,,
